,Country,Cases,Deaths,Recovered,Date

2,RUSSIA,396575,4555,167469,2020-05-31

2,RUSSIA,414878,4855,175877,2020-06-01

2,RUSSIA,414878,4855,175877,2020-06-02

2,RUSSIA,423741,5037,186985,2020-06-03

2,RUSSIA,441108,5384,204623,2020-06-04

2,RUSSIA,441108,5384,204623,2020-06-05

2,RUSSIA,449834,5528,212680,2020-06-06

2,RUSSIA,458689,5725,221388,2020-06-07

2,RUSSIA,467673,5859,226731,2020-06-08
2,RUSSIA,476658,5971,230688,2020-06-09
2,RUSSIA,485253,6142,242397,2020-06-10
