,Country,Cases,Deaths,Recovered,Date

7,INDIA,182143,5164,86984,2020-05-31

6,INDIA,190535,5394,91819,2020-06-01

6,INDIA,198706,5598,95527,2020-06-02

6,INDIA,207615,5815,100303,2020-06-03

6,INDIA,216919,6075,104107,2020-06-04

6,INDIA,226770,6348,109462,2020-06-05

5,INDIA,236657,6642,114073,2020-06-06

4,INDIA,246628,6929,119293,2020-06-07

4,INDIA,246628,6929,119293,2020-06-08
4,INDIA,266598,7466,129215,2020-06-09
4,INDIA,276583,7745,135206,2020-06-10
