,Country,Cases,Deaths,Recovered,Date

6,GERMANY,183294,8600,164829,2020-05-31

7,GERMANY,183494,8605,165226,2020-06-01

7,GERMANY,183765,8618,165834,2020-06-02

7,GERMANY,184091,8674,166428,2020-06-03

7,GERMANY,184425,8699,167256,2020-06-04

7,GERMANY,184923,8736,167785,2020-06-05

8,GERMANY,185413,8763,168395,2020-06-06

8,GERMANY,185696,8769,168760,2020-06-07

8,GERMANY,185853,8776,169094,2020-06-08
8,GERMANY,186233,8792,169549,2020-06-09
8,GERMANY,186516,8831,170134,2020-06-10
