,Country,Cases,Deaths,Recovered,Date

1,BRAZIL,498440,28834,200892,2020-05-31

1,BRAZIL,514992,29341,206555,2020-06-01

1,BRAZIL,529405,30058,211080,2020-06-02

1,BRAZIL,558237,31309,240627,2020-06-03

1,BRAZIL,584562,32568,267861,2020-06-04

1,BRAZIL,615870,34039,274997,2020-06-05

1,BRAZIL,646006,35047,288652,2020-06-06

1,BRAZIL,676494,36044,302084,2020-06-07

1,BRAZIL,691962,36499,302084,2020-06-08
1,BRAZIL,710887,37312,325602,2020-06-09
1,BRAZIL,742084,38497,325602,2020-06-10
