,Country,Cases,Deaths,Recovered,Date

9,PERU,155671,4371,66447,2020-05-31

8,PERU,164476,4506,67208,2020-06-01

8,PERU,170039,4634,68507,2020-06-02

8,PERU,174884,4767,69257,2020-06-03

8,PERU,178914,4894,72319,2020-06-04

8,PERU,183198,5031,76228,2020-06-05

7,PERU,187400,5162,79214,2020-06-06

7,PERU,191758,5301,82731,2020-06-07

7,PERU,196515,5465,86219,2020-06-08
7,PERU,199696,5571,89556,2020-06-09
7,PERU,203736,5738,92929,2020-06-10
